462,287,398,173,482,402,218,423,294,306,0,0,0,0,176,143,1
215,250,277,98,206,257,186,231,202,224,0,0,153,0,215,147,2
304,322,370,142,389,294,189,355,330,222,0,0,0,0,324,178,3
344,462,339,137,436,330,261,343,330,238,0,0,0,0,262,153,4
406,272,342,162,490,365,189,445,345,281,0,0,0,0,230,163,1
218,262,285,100,214,253,199,208,205,230,0,0,128,0,212,171,2
304,304,356,136,366,310,205,330,311,250,0,0,0,0,303,176,3
385,421,321,137,444,384,250,335,320,282,0,0,0,0,208,156,4
449,263,367,167,489,453,214,303,353,291,0,0,0,0,205,146,1
214,247,272,100,203,236,186,208,195,219,0,0,139,17,201,156,2
313,293,351,141,374,331,208,316,320,265,0,0,0,0,305,180,3
336,422,336,144,423,354,256,315,333,255,0,0,0,0,227,151,4
424,268,365,173,509,422,208,419,374,294,0,0,0,0,193,167,1
210,256,240,96,208,236,193,204,195,217,0,0,128,16,205,151,2
320,300,279,119,382,310,214,320,314,266,0,0,0,0,293,187,3
365,436,315,125,453,379,260,331,346,256,0,0,0,0,223,160,4
432,272,336,165,478,431,214,398,352,288,0,0,0,0,195,159,1
225,271,283,105,224,253,208,208,213,241,0,0,85,0,222,147,2
346,286,277,86,384,357,255,311,315,281,0,0,0,0,299,199,3
350,413,333,145,435,366,209,317,325,257,0,0,0,0,214,148,4
443,268,352,165,494,441,218,399,353,297,0,0,0,0,179,165,1
214,242,239,101,208,233,189,147,197,214,0,0,125,0,202,158,2
313,293,283,128,355,334,241,291,309,245,0,0,0,0,314,181,3
334,457,324,125,439,354,279,314,326,251,0,0,0,0,208,158,4
432,273,314,149,450,403,237,369,329,289,0,0,14,0,198,161,1
194,256,253,104,190,215,180,175,178,207,0,0,142,31,182,160,2
343,288,279,116,394,325,240,340,323,274,0,0,1,0,294,202,3
353,457,337,112,435,384,329,310,322,269,0,0,0,0,194,161,4
430,270,330,150,439,389,224,372,335,285,0,0,0,0,203,176,1
198,243,256,100,191,219,176,191,187,197,0,0,128,18,183,160,2
341,293,272,97,380,334,230,333,325,262,0,0,20,0,300,204,3
375,416,298,126,414,369,314,304,318,279,0,0,0,0,203,153,4
208,225,208,117,189,191,192,158,152,230,0,0,126,10,163,204,2
325,227,288,117,281,263,290,202,222,336,0,0,0,0,203,281,3
337,345,288,144,320,322,286,229,255,291,0,0,0,0,202,144,4
404,251,304,144,417,361,277,320,286,374,0,0,0,0,178,152,1
